0.014790 0.001902 -0.003784 -0.002677
0.014790 0.001720 0.002891 -0.003853
0.011411 -0.001513 -0.004605 0.001732
0.011411 -0.002249 0.001265 0.001406
0.029116 0.001695 0.001096 0.004708
0.029116 -0.002250 0.000251 -0.000396
0.010335 0.000884 0.003114 0.003908
0.010335 0.000831 -0.001003 0.004896
0.020388 0.002193 0.002429 -0.002670
0.020388 -0.002250 0.000365 0.000713
0.018227 0.000901 -0.004994 0.000162
0.018227 -0.000913 0.004420 -0.002329
0.013277 0.000374 0.004733 -0.001612
0.013277 0.000904 0.004638 0.001859
0.009187 -0.001666 0.004438 0.001961
0.009187 -0.001455 0.004887 0.000703
0.014768 0.001919 0.000980 0.004506
0.014768 -0.001575 -0.003829 -0.003052
0.008950 0.001386 -0.000968 0.004858
0.008950 0.002204 0.001532 -0.003144
0.015425 -0.001881 -0.003607 -0.002957
0.015425 -0.001602 0.004852 -0.000565
0.010367 -0.002069 0.002353 0.003581
0.010367 0.001090 -0.004509 0.002134
0.004099 -0.002230 0.001417 0.002719
0.004099 0.001401 0.004870 0.000885
0.029495 -0.001271 -0.002362 0.004375
0.029495 -0.000866 -0.002580 -0.004279
0.028317 0.000658 0.002335 -0.004421
0.028317 0.000583 0.003136 -0.003894
0.004293 0.000962 -0.003659 -0.003400
0.004293 -0.000878 -0.001442 -0.004784
0.012232 0.001788 0.001812 0.004406
0.012232 -0.001089 -0.000184 0.004986
0.009996 0.000917 0.001356 -0.004809
0.009996 0.001029 0.000751 -0.004936
0.063955 -0.002021 0.003752 0.002330
0.063955 0.002207 0.000811 0.003362
0.005317 -0.002242 0.002645 0.000136
0.005317 0.001141 -0.003051 -0.003943
0.009627 -0.001942 0.000776 -0.004508
0.009627 -0.000931 -0.004487 0.002196
0.030484 0.002169 -0.002218 -0.003107
0.030484 -0.002052 -0.004276 -0.000705
0.018181 0.002245 0.001174 -0.002123
0.018181 0.001301 0.000285 -0.004960
0.004624 -0.000827 -0.004276 0.002588
0.004624 0.000463 -0.001035 0.004892
0.001415 -0.000023 -0.002394 0.004390
0.001415 0.001978 0.004466 -0.000630
0.076075 0.000530 0.004031 0.002956
0.076075 -0.000216 0.003421 -0.003645
0.005804 -0.002208 0.000054 -0.003447
0.005804 0.001624 0.004222 -0.002435
0.017522 0.002194 0.002199 -0.002854
0.017522 -0.001966 -0.004145 -0.001834
0.004700 -0.001769 0.001460 -0.004552
0.004700 -0.000042 0.004999 0.000081
0.005617 0.002246 0.001835 0.001529
0.005617 0.002246 0.001610 -0.001715
